Time,BKK_P.VOLT
,Average
,
,V
05.12.2025 09:35:13.766,  2.3
05.12.2025 09:35:17.776,  2.3
05.12.2025 09:35:21.766,  2.3
05.12.2025 09:35:25.876,  2.3
05.12.2025 09:35:29.777,  2.3
05.12.2025 09:35:33.776,  2.3
05.12.2025 09:35:37.776,  2.3
05.12.2025 09:35:41.766,  2.3
05.12.2025 09:35:45.876,  2.3
05.12.2025 09:35:49.796,  2.3
05.12.2025 09:35:53.916,  2.3
05.12.2025 09:35:57.876,  2.3
05.12.2025 09:36:01.776,  2.3
05.12.2025 09:36:05.777,  2.3
05.12.2025 09:36:09.776,  2.3
05.12.2025 09:36:13.776,  2.3
05.12.2025 09:36:17.876,  2.3
05.12.2025 09:36:21.776,  2.3
05.12.2025 09:36:25.766,  2.3
05.12.2025 09:36:29.876,  2.3
05.12.2025 09:36:33.876,  2.3
05.12.2025 09:36:37.876,  2.3
05.12.2025 09:36:41.877,  2.3
05.12.2025 09:36:45.876,  2.3
05.12.2025 09:36:49.776,  2.3
05.12.2025 09:36:53.766,  2.3
05.12.2025 09:36:57.766,  2.3
05.12.2025 09:37:01.776,  2.3
05.12.2025 09:37:05.766,  2.3
05.12.2025 09:37:09.876,  2.3
05.12.2025 09:37:13.876,  2.3
05.12.2025 09:37:17.876,  2.3
05.12.2025 09:37:21.876,  2.3
05.12.2025 09:37:25.877,  2.3
05.12.2025 09:37:29.777,  2.3
05.12.2025 09:37:33.776,  2.3
05.12.2025 09:37:37.777,  2.3
05.12.2025 09:37:41.776,  2.3
05.12.2025 09:37:45.766,  2.3
05.12.2025 09:37:49.876,  2.3
05.12.2025 09:37:53.766,  2.3
05.12.2025 09:37:57.776,  2.3
05.12.2025 09:38:01.766,  2.3
05.12.2025 09:38:05.776,  0.1
05.12.2025 09:38:09.877,  0.1
05.12.2025 09:38:13.876,  0.0
05.12.2025 09:38:17.806,  0.0
05.12.2025 09:38:21.916,  0.0
05.12.2025 09:38:25.876,  0.0
05.12.2025 09:38:29.876,  0.0
05.12.2025 09:38:33.876,  0.0
05.12.2025 09:38:37.776,  0.0
05.12.2025 09:38:41.766,  0.0
05.12.2025 09:38:45.776,  0.0
05.12.2025 09:38:49.789,  0.0
05.12.2025 09:38:53.889,  0.0
05.12.2025 09:38:57.889,  0.0
05.12.2025 09:39:01.789,  0.0
05.12.2025 09:39:05.789,  0.0
05.12.2025 09:39:09.779,  0.0
05.12.2025 09:39:13.790,  0.0
05.12.2025 09:39:17.889,  0.0
05.12.2025 09:39:21.780,  0.0
05.12.2025 09:39:25.800,  0.0
05.12.2025 09:39:29.799,  0.0
05.12.2025 09:39:33.789,  0.0
05.12.2025 09:39:37.889,  0.0
05.12.2025 09:39:41.889,  0.0
05.12.2025 09:39:45.799,  0.0
05.12.2025 09:39:49.789,  0.0
05.12.2025 09:39:53.879,  0.0
05.12.2025 09:39:57.799,  0.0
05.12.2025 09:40:01.799,  0.0
05.12.2025 09:40:05.889,  0.0
05.12.2025 09:40:09.799,  0.0
05.12.2025 09:40:13.879,  0.0
05.12.2025 09:40:17.799,  0.0
05.12.2025 09:40:21.879,  0.0
05.12.2025 09:40:25.799,  0.0
05.12.2025 09:40:29.879,  0.0
05.12.2025 09:40:33.879,  0.0
05.12.2025 09:40:37.879,  0.0
05.12.2025 09:40:41.799,  0.0
05.12.2025 09:40:45.789,  0.0
05.12.2025 09:40:49.789,  0.0
05.12.2025 09:40:53.799,  0.0
05.12.2025 09:40:57.879,  0.0
05.12.2025 09:41:01.789,  0.0
05.12.2025 09:41:05.959,  0.0
05.12.2025 09:41:09.819,  0.0
05.12.2025 09:41:13.789,  0.0
05.12.2025 09:41:17.799,  0.0
05.12.2025 09:41:21.799,  0.0
05.12.2025 09:41:25.879,  0.0
05.12.2025 09:41:29.789,  0.0
05.12.2025 09:41:33.789,  0.0
05.12.2025 09:41:37.879,  0.0
05.12.2025 09:41:41.799,  0.0
05.12.2025 09:41:45.799,  0.0
05.12.2025 09:41:49.799,  0.0
05.12.2025 09:41:53.799,  0.0
05.12.2025 09:41:57.789,  0.0
05.12.2025 09:42:01.799,  0.0
05.12.2025 09:42:05.879,  0.0
05.12.2025 09:42:09.789,  0.0
05.12.2025 09:42:13.879,  0.0
05.12.2025 09:42:17.799,  0.0
05.12.2025 09:42:21.799,  0.0
05.12.2025 09:42:25.799,  0.0
05.12.2025 09:42:29.799,  0.0
05.12.2025 09:42:33.799,  0.0
05.12.2025 09:42:37.799,  0.0
05.12.2025 09:42:41.799,  0.0
05.12.2025 09:42:45.799,  0.0
05.12.2025 09:42:49.879,  0.0
05.12.2025 09:42:53.789,  0.0
05.12.2025 09:42:57.799,  0.0
05.12.2025 09:43:01.799,  0.0
05.12.2025 09:43:05.799,  0.0
05.12.2025 09:43:09.959,  0.0
05.12.2025 09:43:13.879,  0.0
05.12.2025 09:43:17.879,  0.0
05.12.2025 09:43:21.799,  0.0
05.12.2025 09:43:25.789,  0.0
05.12.2025 09:43:29.799,  0.0
05.12.2025 09:43:33.799,  0.0
